=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.03.28 11:20:18 =~=~=~=~=~=~=~=~=~=~=~=
Initializing MAX30100 for raw data..SUCCESS
Initializing PulseOximeter..SUCCESS

==========================================
Press 's' to start 2-minute data collection
Minute 1: RAW IR/Red data (0.1s intervals)
Minute 2: Processed BPM/SpO2 data (0.1s intervals)
==========================================

==========================================
=== 2-MINUTE DATA COLLECTION STARTED ===
PHASE 1 (0-600 tenths of seconds): RAW IR/Red data
Format: RAW,Time_0.1s,IR_raw,Red_raw,GSR_V,GSR_raw
RAW,27.3,11699,11378,3.035,621
RAW,27.4,11698,11378,3.055,625
RAW,27.6,11695,11375,3.055,625
RAW,27.7,11693,11388,3.035,621
RAW,27.9,11700,11376,3.035,621
RAW,28.0,11705,11376,3.060,626
RAW,28.2,11711,11375,3.055,625
RAW,28.4,11710,11379,3.055,625
RAW,28.5,11714,11376,3.030,620
RAW,28.7,11704,11372,3.040,622
RAW,28.9,11679,11358,3.030,620
RAW,29.0,11651,11340,3.055,625
RAW,29.2,11535,11277,3.055,625
RAW,29.4,11429,11232,3.055,625
RAW,29.5,11409,11217,3.030,620
RAW,29.7,11377,11206,3.035,621
RAW,29.8,11374,11215,3.055,625
RAW,30.0,11386,11213,3.055,625
RAW,30.2,11406,11232,3.055,625
RAW,30.3,11427,11240,3.040,622
RAW,30.5,11469,11251,3.030,620
RAW,30.7,11500,11260,3.035,621
RAW,30.8,11520,11265,3.055,625
RAW,31.0,11533,11277,3.055,625
RAW,31.2,11561,11288,3.050,624
RAW,31.3,11568,11289,3.035,621
RAW,31.5,11578,11297,3.030,620
RAW,31.6,11589,11301,3.055,625
RAW,31.8,11598,11300,3.055,625
RAW,31.9,11597,11295,3.035,621
RAW,32.1,11599,11306,3.035,621
RAW,32.2,11597,11292,3.055,625
RAW,32.4,11591,11290,3.050,624
RAW,32.6,11586,11291,3.055,625
RAW,32.7,11587,11292,3.030,620
RAW,32.9,11590,11293,3.030,620
RAW,33.1,11592,11292,3.025,619
RAW,33.2,11602,11296,3.060,626
RAW,33.4,11607,11302,3.050,624
RAW,33.5,11608,11296,3.035,621
RAW,33.7,11620,11299,3.030,620
RAW,33.9,11624,11308,3.030,620
RAW,34.0,11628,11302,3.055,625
RAW,34.2,11636,11305,3.055,625
RAW,34.4,11644,11304,3.055,625
RAW,34.5,11635,11302,3.035,621
RAW,34.7,11646,11307,3.030,620
RAW,34.8,11644,11313,3.055,625
RAW,35.0,11651,11300,3.055,625
RAW,35.2,11649,11314,3.055,625
RAW,35.3,11653,11308,3.030,620
RAW,35.5,11655,11314,3.035,621
RAW,35.7,11661,11314,3.025,619
RAW,35.8,11664,11310,3.060,626
RAW,36.0,11667,11314,3.055,625
RAW,36.2,11659,11306,3.055,625
RAW,36.3,11670,11317,3.030,620
RAW,36.5,11676,11318,3.030,620
RAW,36.7,11675,11310,3.030,620
RAW,36.8,11664,11317,3.055,625
RAW,37.0,11686,11309,3.050,624
RAW,37.1,11680,11313,3.035,621
RAW,37.3,11651,11289,3.030,620
RAW,37.3,11619,11268,3.060,626
RAW,37.6,11502,11213,3.055,625
RAW,37.8,11399,11167,3.055,625
RAW,37.9,11381,11155,3.030,620
RAW,38.1,11333,11139,3.030,620
RAW,38.3,11331,11136,3.025,619
RAW,38.4,11335,11144,3.055,625
RAW,38.6,11373,11158,3.055,625
RAW,38.7,11386,11166,3.035,621
RAW,38.9,11417,11178,3.030,620
RAW,39.0,11458,11203,3.030,620
RAW,39.3,11481,11206,3.030,620
RAW,39.4,11500,11211,3.055,625
RAW,39.6,11524,11223,3.055,625
RAW,39.7,11536,11226,3.030,620
RAW,39.9,11549,11235,3.030,620
RAW,40.1,11562,11232,3.035,621
RAW,40.2,11571,11236,3.055,625
RAW,40.4,11562,11230,3.055,625
RAW,40.6,11568,11235,3.050,624
RAW,40.7,11567,11237,3.030,620
RAW,40.9,11564,11229,3.030,620
RAW,41.1,11565,11241,3.030,620
RAW,41.3,11563,11233,3.025,619
RAW,41.4,11562,11235,3.055,625
RAW,41.6,11572,11245,3.055,625
RAW,41.7,11575,11236,3.030,620
RAW,41.9,11591,11245,3.030,620
RAW,42.0,11592,11243,3.030,620
RAW,42.2,11589,11248,3.055,625
RAW,42.4,11600,11250,3.055,625
RAW,42.6,11597,11253,3.050,624
RAW,42.7,11603,11248,3.030,620
RAW,42.8,11607,11244,3.030,620
RAW,43.1,11607,11248,3.035,621
RAW,43.2,11621,11252,3.055,625
RAW,43.4,11613,11251,3.060,626
RAW,43.6,11627,11257,3.055,625
RAW,43.7,11622,11255,3.030,620
RAW,43.9,11632,11254,3.025,619
RAW,44.0,11624,11249,3.055,625
RAW,44.2,11631,11255,3.050,624
RAW,44.4,11636,11256,3.055,625
RAW,44.5,11637,11255,3.025,619
RAW,44.7,11650,11254,3.030,620
RAW,44.8,11644,11255,3.060,626
RAW,45.0,11640,11259,3.060,626
RAW,45.2,11645,11256,3.050,624
RAW,45.4,11642,11256,3.055,625
RAW,45.5,11645,11253,3.025,619
RAW,45.7,11648,11257,3.030,620
RAW,45.8,11624,11245,3.025,619
RAW,46.0,11597,11222,3.060,626
RAW,46.2,11469,11157,3.050,624
RAW,46.4,11373,11116,3.055,625
RAW,46.5,11346,11102,3.025,619
RAW,46.7,11297,11091,3.030,620
RAW,46.8,11289,11082,3.055,625
RAW,47.0,11297,11088,3.055,625
RAW,47.2,11314,11097,3.055,625
RAW,47.3,11340,11105,3.025,619
RAW,47.5,11365,11123,3.030,620
RAW,47.7,11399,11137,3.030,620
RAW,47.9,11431,11149,3.025,619
RAW,48.2,11469,11171,3.055,625
RAW,48.3,11487,11178,3.025,619
RAW,48.5,11513,11187,3.030,620
RAW,48.7,11517,11195,3.025,619
RAW,48.7,11519,11187,3.060,626
RAW,49.0,11520,11194,3.050,624
RAW,49.2,11521,11183,3.055,625
RAW,49.2,11516,11185,3.025,619
RAW,49.5,11508,11180,3.025,619
RAW,49.5,11507,11185,3.055,625
RAW,49.8,11513,11179,3.060,626
RAW,50.0,11512,11189,3.050,624
RAW,50.0,11510,11182,3.030,620
RAW,50.3,11528,11187,3.025,619
RAW,50.5,11543,11187,3.030,620
RAW,50.5,11548,11191,3.060,626
RAW,50.8,11555,11196,3.060,626
RAW,51.0,11570,11191,3.055,625
RAW,51.1,11564,11192,3.030,620
RAW,51.2,11569,11195,3.025,619
RAW,51.5,11581,11199,3.030,620
RAW,51.6,11580,11197,3.055,625
RAW,51.7,11584,11199,3.055,625
RAW,52.0,11589,11203,3.055,625
RAW,52.1,11591,11194,3.025,619
RAW,52.2,11595,11201,3.025,619
RAW,52.5,11588,11202,3.025,619
RAW,52.5,11603,11202,3.055,625
RAW,52.8,11601,11200,3.055,625
RAW,53.0,11609,11197,3.050,624
RAW,53.0,11597,11192,3.030,620
RAW,53.3,11604,11201,3.025,619
RAW,53.5,11601,11198,3.030,620
RAW,53.5,11601,11194,3.055,625
RAW,53.8,11614,11195,3.060,626
RAW,53.8,11612,11206,3.025,619
RAW,54.1,11589,11186,3.030,620
RAW,54.2,11516,11145,3.025,619
RAW,54.5,11381,11078,3.025,619
RAW,54.6,11334,11067,3.055,625
RAW,54.7,11275,11038,3.055,625
RAW,54.8,11264,11034,3.021,618
RAW,55.1,11261,11040,3.025,619
RAW,55.2,11267,11046,3.025,619
RAW,55.4,11275,11048,3.060,626
RAW,55.5,11300,11065,3.060,626
RAW,55.8,11336,11074,3.055,625
RAW,56.0,11363,11084,3.055,625
RAW,56.2,11394,11097,3.055,625
RAW,56.3,11419,11101,3.021,618
RAW,56.5,11435,11118,3.021,618
RAW,56.5,11450,11122,3.055,625
RAW,56.8,11469,11123,3.055,625
RAW,56.8,11477,11124,3.021,618
RAW,57.1,11487,11132,3.025,619
RAW,57.2,11481,11137,3.055,625
RAW,57.3,11482,11127,3.055,625
RAW,57.5,11474,11127,3.025,619
RAW,57.7,11484,11125,3.025,619
RAW,57.7,11482,11125,3.055,625
RAW,58.0,11477,11131,3.055,625
RAW,58.2,11487,11128,3.050,624
RAW,58.2,11484,11134,3.025,619
RAW,58.4,11489,11135,3.055,625
RAW,58.5,11507,11140,3.055,625
RAW,58.8,11520,11138,3.055,625
RAW,58.8,11523,11149,3.025,619
RAW,59.0,11531,11156,3.021,618
RAW,59.2,11527,11149,3.055,625
RAW,59.3,11533,11147,3.055,625
RAW,59.6,11544,11154,3.055,625
