=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.04.01 14:12:36 =~=~=~=~=~=~=~=~=~=~=~=
Initializing MAX30100 for raw data..SUCCESS
Initializing PulseOximeter..SUCCESS

==========================================
Press 's' to start 2-minute data collection
Minute 1: RAW IR/Red data (0.1s intervals)
Minute 2: Processed BPM/SpO2 data (0.1s intervals)
==========================================

==========================================
=== 2-MINUTE DATA COLLECTION STARTED ===
PHASE 1 (0-600 tenths of seconds): RAW IR/Red data
Format: RAW,Time_0.1s,IR_raw,Red_raw,GSR_V,GSR_raw
------------------------------------------
RAW,0.0,8958,7783,2.385,488
RAW,0.0,8954,7779,2.385,488
RAW,0.0,8958,7781,2.414,494
RAW,0.0,8957,7779,2.468,505
RAW,0.0,8949,7778,2.449,501
RAW,0.0,8948,7778,2.449,501
RAW,0.0,8947,7781,2.483,508
RAW,0.0,8949,7785,2.439,499
RAW,0.0,8949,7783,2.390,489
RAW,0.0,8951,7785,2.385,488
RAW,0.0,8954,7784,2.454,502
RAW,0.0,8950,7789,2.468,505
RAW,0.0,8951,7787,2.449,501
RAW,0.0,8958,7791,2.449,501
RAW,0.0,8965,7793,2.488,509
RAW,0.0,8961,7795,2.439,499
RAW,0.4,8961,7774,2.395,490
RAW,0.4,8958,7781,2.395,490
RAW,0.4,8964,7779,2.454,502
RAW,0.4,8958,7779,2.463,504
RAW,0.4,8960,7780,2.454,502
RAW,0.4,8951,7782,2.454,502
RAW,0.6,8959,7778,2.429,497
RAW,0.6,8960,7773,2.395,490
RAW,0.8,8951,7767,2.390,489
RAW,1.1,8958,7767,2.449,501
RAW,1.5,8959,7766,2.449,501
RAW,1.8,8960,7770,2.385,488
RAW,2.1,8969,7774,2.449,501
RAW,2.4,8976,7770,2.385,488
RAW,2.8,8976,7768,2.385,488
RAW,3.1,8984,7769,2.449,501
RAW,3.4,8981,7767,2.385,488
RAW,3.7,8988,7771,2.444,500
RAW,4.0,8993,7769,2.385,488
RAW,4.3,8997,7776,2.449,501
RAW,4.6,8981,7763,2.385,488
RAW,5.0,8942,7735,2.385,488
RAW,5.3,8915,7732,2.449,501
RAW,5.6,8904,7726,2.385,488
RAW,5.9,8900,7726,2.449,501
RAW,6.3,8897,7722,2.444,500
RAW,6.6,8896,7720,2.385,488
RAW,6.9,8904,7725,2.449,501
RAW,7.2,8906,7723,2.390,489
RAW,7.5,8909,7726,2.449,501
RAW,7.9,8907,7722,2.449,501
RAW,8.2,8900,7723,2.385,488
RAW,8.5,8905,7720,2.449,501
RAW,8.8,8901,7714,2.385,488
RAW,9.1,8909,7716,2.449,501
RAW,9.4,8911,7718,2.385,488
RAW,9.7,8913,7718,2.449,501
RAW,10.0,8919,7717,2.385,488
RAW,10.4,8918,7719,2.385,488
RAW,10.7,8931,7716,2.449,501
RAW,11.0,8930,7719,2.385,488
RAW,11.3,8929,7713,2.449,501
