=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.03.19 23:34:52 =~=~=~=~=~=~=~=~=~=~=~=
Initializing MAX30100 for raw data..SUCCESS
Initializing PulseOximeter..SUCCESS

==========================================
Press 's' to start 2-minute data collection
Minute 1: RAW IR/Red data (0.1s intervals)
Minute 2: Processed BPM/SpO2 data (0.1s intervals)
==========================================

==========================================
=== 2-MINUTE DATA COLLECTION STARTED ===
PHASE 1 (0-600 tenths of seconds): RAW IR/Red data
Format: RAW,Time_0.1s,IR_raw,Red_raw,GSR_V,GSR_raw
------------------------------------------
RAW,0.0,10226,22841,2.659,544
RAW,0.0,10344,22963,2.869,587
RAW,0.0,10423,23073,3.040,622
RAW,0.0,10537,23246,2.698,552
RAW,0.0,10561,23316,2.698,552
RAW,0.0,10566,23322,2.722,557
RAW,0.0,10562,23325,3.050,624
RAW,0.0,10560,23343,2.664,545
RAW,0.0,10558,23358,2.664,545
RAW,0.0,10561,23366,2.683,549
RAW,0.0,10553,23367,2.791,571
RAW,0.0,10553,24576,2.693,551
RAW,0.0,10551,28343,2.845,582
RAW,0.0,10556,28361,2.688,550
RAW,0.0,10559,28376,2.688,550
RAW,0.0,10547,28369,2.664,545
RAW,0.4,10203,22794,2.683,549
RAW,0.4,10201,22792,3.060,626
RAW,0.4,10202,22807,2.698,552
RAW,0.4,10204,22804,2.693,551
RAW,0.4,10211,22810,2.889,591
RAW,0.4,10211,22820,3.045,623
RAW,0.6,10217,22803,2.669,546
RAW,0.6,10207,22794,2.669,546
RAW,0.8,10215,22807,2.669,546
RAW,1.0,10235,22812,2.664,545
RAW,1.3,10246,22828,2.688,550
RAW,1.5,10263,22846,2.688,550
RAW,1.8,10270,22871,2.659,544
RAW,2.1,10290,22889,2.683,549
RAW,2.3,10288,22873,2.683,549
RAW,2.6,10284,22865,2.649,542
RAW,2.8,10277,22847,2.654,543
RAW,3.0,10270,18616,2.654,543
RAW,3.3,10264,18601,2.683,549
RAW,3.5,10264,18590,2.683,549
RAW,3.8,10269,18591,2.659,544
RAW,4.0,10277,18582,2.654,543
RAW,4.3,10276,18568,2.688,550
RAW,4.5,10279,18559,2.688,550
RAW,4.8,10273,18534,2.659,544
RAW,5.0,10281,18530,2.659,544
RAW,5.3,10288,18524,2.688,550
RAW,5.6,10300,18517,2.659,544
RAW,5.8,10305,18532,2.659,544
RAW,6.1,10310,18528,2.683,549
RAW,6.3,10318,18520,2.688,550
RAW,6.6,10326,18523,2.659,544
RAW,6.8,10331,18523,2.659,544
RAW,7.1,10329,18522,2.683,549
RAW,7.3,10337,18509,2.688,550
RAW,7.6,10347,18515,2.654,543
RAW,7.9,10354,18509,2.683,549
RAW,8.0,10362,16384,2.654,543
RAW,8.3,10325,13570,2.688,550
RAW,8.5,10211,13465,2.688,550
RAW,8.8,10092,13377,2.659,544
RAW,9.0,10065,13362,2.654,543
RAW,9.3,10049,13360,2.688,550
RAW,9.6,10058,13348,2.659,544
RAW,9.9,10076,13349,2.688,550
RAW,10.1,10075,13350,2.688,550
RAW,10.3,10086,13353,2.688,550
RAW,10.4,10091,13358,2.659,544
RAW,10.6,10094,13350,2.664,545
RAW,10.7,10107,13354,2.688,550
RAW,10.9,10110,13355,2.693,551
RAW,11.0,10119,13363,2.664,545
RAW,11.2,10128,13371,2.659,544
RAW,11.3,10128,13371,2.693,551
RAW,11.5,10132,13359,2.693,551
RAW,11.7,10130,13343,2.688,550
RAW,11.8,10125,13344,2.664,545
RAW,11.9,10118,13339,2.688,550
