=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.03.28 11:37:56 =~=~=~=~=~=~=~=~=~=~=~=
Initializing MAX30100 for raw data..SUCCESS
Initializing PulseOximeter..SUCCESS

==========================================
Press 's' to start 2-minute data collection
Minute 1: RAW IR/Red data (0.1s intervals)
Minute 2: Processed BPM/SpO2 data (0.1s intervals)
==========================================

==========================================
=== 2-MINUTE DATA COLLECTION STARTED ===
PHASE 1 (0-600 tenths of seconds): RAW IR/Red data
Format: RAW,Time_0.1s,IR_raw,Red_raw,GSR_V,GSR_raw
------------------------------------------
RAW,0.0,11666,26348,1.256,257
RAW,0.0,11641,26306,1.217,249
RAW,0.0,11606,26259,1.261,258
RAW,0.0,11567,26232,1.207,247
RAW,0.0,11565,26221,1.202,246
RAW,0.0,11548,26195,1.188,243
RAW,0.0,11549,26203,1.256,257
RAW,0.0,11560,26222,1.261,258
RAW,0.0,11589,26237,1.217,249
RAW,0.0,11622,26282,1.222,250
RAW,0.0,11690,26340,1.276,261
RAW,0.0,11771,26449,1.320,270
RAW,0.0,11880,26565,1.193,244
RAW,0.0,11935,26651,1.183,242
RAW,0.0,11939,26656,1.202,246
RAW,0.0,11945,26668,1.329,272
RAW,0.4,11724,26396,1.217,249
RAW,0.4,11719,26406,1.271,260
RAW,0.4,11717,26397,1.212,248
RAW,0.4,11705,26397,1.246,255
RAW,0.4,11707,26390,1.193,244
RAW,0.4,11696,26360,1.246,255
RAW,0.6,11723,26403,1.325,271
RAW,1.0,11732,26408,1.212,248
RAW,1.3,11736,26420,1.188,243
RAW,1.6,11767,26444,1.212,248
RAW,1.8,11769,21542,1.212,248
RAW,2.1,11785,21562,1.188,243
RAW,2.3,11803,21567,1.188,243
RAW,2.6,11820,21591,1.207,247
RAW,2.9,11838,21601,1.183,242
RAW,3.1,11849,21603,1.178,241
RAW,3.4,11867,21622,1.207,247
RAW,3.6,11871,21625,1.202,246
RAW,3.9,11879,21634,1.173,240
RAW,4.1,11886,21645,1.173,240
RAW,4.4,11896,21657,1.197,245
RAW,4.7,11914,21671,1.173,240
RAW,5.0,11914,21675,1.197,245
RAW,5.2,11918,21677,1.193,244
RAW,5.5,11933,21685,1.168,239
RAW,5.8,11924,21685,1.193,244
RAW,6.0,11915,21656,1.188,243
RAW,6.3,11817,21545,1.168,239
RAW,6.6,11677,21426,1.183,242
RAW,6.7,11656,16384,1.163,238
RAW,7.0,11597,15721,1.183,242
RAW,7.3,11576,15702,1.158,237
RAW,7.6,11577,15701,1.183,242
RAW,7.9,11587,15717,1.158,237
RAW,8.2,11631,15740,1.178,241
RAW,8.4,11662,15766,1.173,240
RAW,8.5,11679,15768,1.153,236
RAW,8.7,11711,15790,1.149,235
RAW,8.9,11740,15811,1.153,236
RAW,9.1,11750,15818,1.149,235
RAW,9.3,11754,15825,1.153,236
RAW,9.4,11753,15812,1.173,240
RAW,9.6,11753,15813,1.168,239
RAW,9.8,11759,15823,1.168,239
RAW,10.0,11761,15830,1.168,239
RAW,10.1,11765,15824,1.149,235
RAW,10.3,11763,15837,1.144,234
RAW,10.4,11777,15835,1.163,238
RAW,10.6,11784,15842,1.168,239
RAW,10.8,11794,15848,1.163,238
RAW,10.9,11807,15856,1.144,234
RAW,11.1,11809,15854,1.134,232
RAW,11.2,11816,15860,1.163,238
RAW,11.4,11835,15873,1.163,238
RAW,11.5,11831,15881,1.139,233
RAW,11.9,11861,10970,1.134,232
RAW,12.0,11862,10974,1.158,237
RAW,12.2,11872,10980,1.158,237
RAW,12.4,11876,10980,1.153,236
RAW,12.5,11882,10985,1.134,232
RAW,12.7,11895,10989,1.134,232
